,,,,,,,,,,,,,協会一般計,,,,,,,,,,第３条第２項計,,,,,,,,,,船員保険計,,,,,,,,,,共済組合計,,,,,,,,,,健保組合計,,,,,,,,,,,市町村計,,,,,,,,,,,,,,,,国保組合計,,,,,,,,,,被用者保険計,,,国民健康保険計,,,,,,
,,,,70歳未満計,,,,,,70歳以上,,,,70歳未満計,,,,,,70歳以上,,,,70歳未満計,,,,,,70歳以上,,,,70歳未満計,,,,,,70歳以上,,,,70歳未満計,,,,,,70歳以上,,,,70歳未満計,,,,,,70歳以上,,,,,一般計,,,,,,,退職者計,,,,,,,,,,,,,,,,,,,,,,市町村計,,,国保組合計,,
,,,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,本人,,家族,,家族,75歳未満計,一般,現役並み,,,,70歳未満計,,,70歳以上,,,(2008年４月以降,70歳未満計,,,,70歳以上,,,,70歳未満計,,,70歳以上,,,,一般,現役並み,,一般,現役並み,,,一般,現役並み,,一般,現役並み
,,,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,（70歳未満）,（再掲）,（未就学者を,（再掲）,（未就学者）,,,所得者,,,,,,,75歳未満計,一般,現役並み,は65歳未満),,被保険者,家族,家族,75歳未満計,一般,現役並み,,,,,75歳未満計,一般,現役並み,,,所得者,,,所得者,,,,所得者,,,所得者
,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,65歳以上,除く70歳未満）,65歳以上,,,,,,,,,（再掲）,（再掲）,,,所得者,,,（70歳未満）,（未就学者を,（未就学者）,,,所得者,,,（再掲）,（再掲）,,,所得者,,,,,,,,,,,,,
,,,,,,70歳未満,,70歳未満,,,,,,,,70歳未満,,70歳未満,,,,,,,,70歳未満,,70歳未満,,,,,,,,70歳未満,,70歳未満,,,,,,,,70歳未満,,70歳未満,,,,,,,,70歳未満,,70歳未満,,,,,,,,,未就学者,65歳以上,,,,,,,除く70歳未満）,,,,,,,未就学者,65歳以上,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70歳未満,,,,,,,,,,,,,,,70歳未満,,,,,,,,,,,,,,,,
,198702,"121,882,157 ","72,776,000 ","72,776,000 ","33,573,000 ",,"39,203,000 ",,,,,,"31,090,808 ","31,090,808 ","15,202,161 ",,"15,888,647 ",,,,,,"209,228 ","209,228 ","138,515 ",,"70,713 ",,,,,,"510,197 ","510,197 ","172,009 ",,"338,188 ",,,,,,"11,795,458 ","11,795,458 ","5,151,934 ",,"6,643,524 ",,,,,,"29,170,438 ","29,170,438 ","12,908,886 ",,"16,261,552 ",,,,,,"39,740,877 ","36,312,301 ","33,092,782 ","33,092,782 ",,,,,,"3,219,519 ","3,219,519 ","2,132,162 ","1,087,357 ",,,,,"3,428,576 ","3,428,576 ",,,,,,"8,632,824 ",,,,,,,,,,,,
,198703,"121,843,159 ","72,888,000 ","72,888,000 ","33,675,000 ",,"39,213,000 ",,,,,,"31,202,619 ","31,202,619 ","15,251,211 ",,"15,951,408 ",,,,,,"206,076 ","206,076 ","136,206 ",,"69,870 ",,,,,,"511,394 ","511,394 ","172,558 ",,"338,836 ",,,,,,"11,787,930 ","11,787,930 ","5,147,970 ",,"6,639,960 ",,,,,,"29,179,942 ","29,179,942 ","12,967,063 ",,"16,212,879 ",,,,,,"39,643,258 ","36,207,607 ","32,967,183 ","32,967,183 ",,,,,,"3,240,424 ","3,240,424 ","2,146,482 ","1,093,942 ",,,,,"3,435,651 ","3,435,651 ",,,,,,"8,674,556 ",,,,,,,,,,,,
1987,198704,"121,910,477 ","73,461,000 ","73,461,000 ","34,338,000 ",,"39,123,000 ",,,,,,"31,481,027 ","31,481,027 ","15,529,619 ",,"15,951,408 ",,,,,,"203,496 ","203,496 ","133,626 ",,"69,870 ",,,,,,"512,351 ","512,351 ","173,515 ",,"338,836 ",,,,,,"11,783,806 ","11,783,806 ","5,143,349 ",,"6,640,457 ",,,,,,"29,481,384 ","29,481,384 ","13,358,196 ",,"16,123,188 ",,,,,,"39,752,163 ","36,305,865 ","32,933,652 ","32,933,652 ",,,,,,"3,372,213 ","3,372,213 ","2,230,026 ","1,142,187 ",,,,,"3,446,298 ","3,446,298 ",,,,,,"8,724,016 ",,,,,,,,,,,,
,198705,"121,961,136 ","73,536,000 ","73,536,000 ","34,374,000 ",,"39,162,000 ",,,,,,"31,580,945 ","31,580,945 ","15,580,075 ",,"16,000,870 ",,,,,,"198,310 ","198,310 ","130,919 ",,"67,391 ",,,,,,"519,451 ","519,451 ","175,963 ",,"343,488 ",,,,,,"11,775,063 ","11,775,063 ","5,137,934 ",,"6,637,129 ",,,,,,"29,462,218 ","29,462,218 ","13,349,314 ",,"16,112,904 ",,,,,,"39,678,275 ","36,219,371 ","32,823,989 ","32,823,989 ",,,,,,"3,395,382 ","3,395,382 ","2,247,734 ","1,147,648 ",,,,,"3,458,904 ","3,458,904 ",,,,,,"8,739,917 ",,,,,,,,,,,,
,198706,"122,053,744 ","73,626,000 ","73,626,000 ","34,407,000 ",,"39,219,000 ",,,,,,"31,682,120 ","31,682,120 ","15,631,159 ",,"16,050,961 ",,,,,,"194,250 ","194,250 ","128,925 ",,"65,325 ",,,,,,"509,860 ","509,860 ","172,757 ",,"337,103 ",,,,,,"11,765,548 ","11,765,548 ","5,132,500 ",,"6,633,048 ",,,,,,"29,474,578 ","29,474,578 ","13,341,296 ",,"16,133,282 ",,,,,,"39,628,502 ","36,153,031 ","32,737,763 ","32,737,763 ",,,,,,"3,415,268 ","3,415,268 ","2,262,066 ","1,153,202 ",,,,,"3,475,471 ","3,475,471 ",,,,,,"8,756,207 ",,,,,,,,,,,,
,198707,"122,091,324 ","73,632,000 ","73,632,000 ","34,386,000 ",,"39,246,000 ",,,,,,"31,675,951 ","31,675,951 ","15,629,286 ",,"16,046,665 ",,,,,,"189,955 ","189,955 ","126,735 ",,"63,220 ",,,,,,"504,665 ","504,665 ","171,038 ",,"333,627 ",,,,,,"11,756,327 ","11,756,327 ","5,127,074 ",,"6,629,253 ",,,,,,"29,504,212 ","29,504,212 ","13,330,864 ",,"16,173,348 ",,,,,,"39,594,508 ","36,108,520 ","32,674,046 ","32,674,046 ",,,,,,"3,434,474 ","3,434,474 ","2,275,276 ","1,159,198 ",,,,,"3,485,988 ","3,485,988 ",,,,,,"8,768,025 ",,,,,,,,,,,,
,198708,"122,040,033 ","73,539,000 ","73,539,000 ","34,311,000 ",,"39,228,000 ",,,,,,"31,610,571 ","31,610,571 ","15,598,195 ",,"16,012,376 ",,,,,,"191,712 ","191,712 ","128,595 ",,"63,117 ",,,,,,"508,132 ","508,132 ","172,256 ",,"335,876 ",,,,,,"11,747,151 ","11,747,151 ","5,121,648 ",,"6,625,503 ",,,,,,"29,481,808 ","29,481,808 ","13,290,025 ",,"16,191,783 ",,,,,,"39,575,775 ","36,084,109 ","32,640,059 ","32,640,059 ",,,,,,"3,444,050 ","3,444,050 ","2,282,025 ","1,162,025 ",,,,,"3,491,666 ","3,491,666 ",,,,,,"8,786,783 ",,,,,,,,,,,,
,198709,"122,177,064 ","73,545,000 ","73,545,000 ","34,292,000 ",,"39,253,000 ",,,,,,"31,618,752 ","31,618,752 ","15,603,401 ",,"16,015,351 ",,,,,,"200,694 ","200,694 ","135,330 ",,"65,364 ",,,,,,"509,928 ","509,928 ","172,908 ",,"337,020 ",,,,,,"11,737,874 ","11,737,874 ","5,116,221 ",,"6,621,653 ",,,,,,"29,478,062 ","29,478,062 ","13,264,343 ",,"16,213,719 ",,,,,,"39,565,187 ","36,059,596 ","32,607,394 ","32,607,394 ",,,,,,"3,452,202 ","3,452,202 ","2,288,111 ","1,164,091 ",,,,,"3,505,591 ","3,505,591 ",,,,,,"8,810,072 ",,,,,,,,,,,,
,198710,"122,263,735 ","73,596,000 ","73,596,000 ","34,302,000 ",,"39,294,000 ",,,,,,"31,638,186 ","31,638,186 ","15,614,161 ",,"16,024,025 ",,,,,,"200,734 ","200,734 ","135,637 ",,"65,097 ",,,,,,"505,561 ","505,561 ","171,469 ",,"334,092 ",,,,,,"11,728,059 ","11,728,059 ","5,110,780 ",,"6,617,279 ",,,,,,"29,523,148 ","29,523,148 ","13,268,772 ",,"16,254,376 ",,,,,,"39,513,566 ","35,994,726 ","32,531,797 ","32,531,797 ",,,,,,"3,462,929 ","3,462,929 ","2,295,746 ","1,167,183 ",,,,,"3,518,840 ","3,518,840 ",,,,,,"8,834,224 ",,,,,,,,,,,,
,198711,"122,301,851 ","73,692,000 ","73,692,000 ","34,336,000 ",,"39,356,000 ",,,,,,"31,691,069 ","31,691,069 ","15,641,432 ",,"16,049,637 ",,,,,,"201,501 ","201,501 ","136,437 ",,"65,064 ",,,,,,"498,323 ","498,323 ","169,056 ",,"329,267 ",,,,,,"11,718,333 ","11,718,333 ","5,105,342 ",,"6,612,991 ",,,,,,"29,581,485 ","29,581,485 ","13,282,166 ",,"16,299,319 ",,,,,,"39,446,629 ","35,907,048 ","32,437,787 ","32,437,787 ",,,,,,"3,469,261 ","3,469,261 ","2,301,414 ","1,167,847 ",,,,,"3,539,581 ","3,539,581 ",,,,,,"8,858,160 ",,,,,,,,,,,,
,198712,"122,369,520 ","73,612,000 ","73,612,000 ","34,273,000 ",,"39,339,000 ",,,,,,"31,614,490 ","31,614,490 ","15,604,805 ",,"16,009,685 ",,,,,,"200,001 ","200,001 ","135,701 ",,"64,300 ",,,,,,"483,174 ","483,174 ","163,957 ",,"319,217 ",,,,,,"11,708,219 ","11,708,219 ","5,099,896 ",,"6,608,323 ",,,,,,"29,603,673 ","29,603,673 ","13,266,940 ",,"16,336,733 ",,,,,,"39,384,353 ","35,841,392 ","32,367,672 ","32,367,672 ",,,,,,"3,473,720 ","3,473,720 ","2,305,042 ","1,168,678 ",,,,,"3,542,961 ","3,542,961 ",,,,,,"8,878,980 ",,,,,,,,,,,,
,198801,"122,306,063 ","73,482,000 ","73,482,000 ","34,174,000 ",,"39,308,000 ",,,,,,"31,524,640 ","31,524,640 ","15,561,622 ",,"15,963,018 ",,,,,,"198,625 ","198,625 ","135,046 ",,"63,579 ",,,,,,"483,540 ","483,540 ","164,122 ",,"319,418 ",,,,,,"11,698,900 ","11,698,900 ","5,094,466 ",,"6,604,434 ",,,,,,"29,575,287 ","29,575,287 ","13,217,020 ",,"16,358,267 ",,,,,,"39,387,593 ","35,848,692 ","32,367,588 ","32,367,588 ",,,,,,"3,481,104 ","3,481,104 ","2,310,020 ","1,171,084 ",,,,,"3,538,901 ","3,538,901 ",,,,,,"8,892,974 ",,,,,,,,,,,,
,198802,"122,432,762 ","73,498,000 ","73,498,000 ","34,161,000 ",,"39,337,000 ",,,,,,"31,546,583 ","31,546,583 ","15,573,622 ",,"15,972,961 ",,,,,,"197,647 ","197,647 ","134,658 ",,"62,989 ",,,,,,"480,328 ","480,328 ","163,072 ",,"317,256 ",,,,,,"11,688,634 ","11,688,634 ","5,089,017 ",,"6,599,617 ",,,,,,"29,581,626 ","29,581,626 ","13,197,574 ",,"16,384,052 ",,,,,,"39,333,145 ","35,781,682 ","32,304,776 ","32,304,776 ",,,,,,"3,476,906 ","3,476,906 ","2,307,852 ","1,169,054 ",,,,,"3,551,463 ","3,551,463 ",,,,,,"8,931,568 ",,,,,,,,,,,,
,198803,"122,386,006 ","73,744,000 ","73,744,000 ","34,314,000 ",,"39,430,000 ",,,,,,"31,734,734 ","31,734,734 ","15,667,681 ",,"16,067,053 ",,,,,,"196,019 ","196,019 ","133,824 ",,"62,195 ",,,,,,"478,000 ","478,000 ","162,322 ",,"315,678 ",,,,,,"11,680,410 ","11,680,410 ","5,083,612 ",,"6,596,798 ",,,,,,"29,654,026 ","29,654,026 ","13,265,668 ",,"16,388,358 ",,,,,,"39,206,740 ","35,646,276 ","32,149,209 ","32,149,209 ",,,,,,"3,497,067 ","3,497,067 ","2,321,000 ","1,176,067 ",,,,,"3,560,464 ","3,560,464 ",,,,,,"8,966,863 ",,,,,,,,,,,,
1988,198804,"122,458,224 ","74,400,000 ","74,400,000 ","35,081,000 ",,"39,319,000 ",,,,,,"32,090,197 ","32,090,197 ","16,023,144 ",,"16,067,053 ",,,,,,"194,803 ","194,803 ","132,608 ",,"62,195 ",,,,,,"478,429 ","478,429 ","162,751 ",,"315,678 ",,,,,,"11,679,821 ","11,679,821 ","5,081,059 ",,"6,598,762 ",,,,,,"29,956,171 ","29,956,171 ","13,681,570 ",,"16,274,601 ",,,,,,"39,240,758 ","35,661,084 ","32,054,020 ","32,054,020 ",,,,,,"3,607,064 ","3,607,064 ","2,391,816 ","1,215,248 ",,,,,"3,579,674 ","3,579,674 ",,,,,,"9,014,944 ",,,,,,,,,,,,
,198805,"122,439,290 ","74,591,000 ","74,591,000 ","35,183,000 ",,"39,408,000 ",,,,,,"32,276,407 ","32,276,407 ","16,117,353 ",,"16,159,054 ",,,,,,"192,764 ","192,764 ","131,697 ",,"61,067 ",,,,,,"482,102 ","482,102 ","164,267 ",,"317,835 ",,,,,,"11,675,736 ","11,675,736 ","5,078,427 ",,"6,597,309 ",,,,,,"29,953,224 ","29,953,224 ","13,692,076 ",,"16,261,148 ",,,,,,"39,038,691 ","35,498,974 ","31,879,184 ","31,879,184 ",,,,,,"3,619,790 ","3,619,790 ","2,403,061 ","1,216,729 ",,,,,"3,539,717 ","3,539,717 ",,,,,,"9,026,432 ",,,,,,,,,,,,
,198806,"122,585,369 ","74,762,000 ","74,762,000 ","35,255,000 ",,"39,507,000 ",,,,,,"32,417,584 ","32,417,584 ","16,189,089 ",,"16,228,495 ",,,,,,"190,433 ","190,433 ","130,151 ",,"60,282 ",,,,,,"471,437 ","471,437 ","160,894 ",,"310,543 ",,,,,,"11,670,883 ","11,670,883 ","5,075,779 ",,"6,595,104 ",,,,,,"29,988,528 ","29,988,528 ","13,699,089 ",,"16,289,439 ",,,,,,"38,972,806 ","35,367,500 ","31,735,318 ","31,735,318 ",,,,,,"3,632,182 ","3,632,182 ","2,412,973 ","1,219,209 ",,,,,"3,605,306 ","3,605,306 ",,,,,,"9,040,952 ",,,,,,,,,,,,
,198807,"122,612,661 ","74,820,000 ","74,820,000 ","35,255,000 ",,"39,565,000 ",,,,,,"32,476,102 ","32,476,102 ","16,219,555 ",,"16,256,547 ",,,,,,"187,542 ","187,542 ","128,222 ",,"59,320 ",,,,,,"467,173 ","467,173 ","159,698 ",,"307,475 ",,,,,,"11,666,328 ","11,666,328 ","5,073,136 ",,"6,593,192 ",,,,,,"29,988,354 ","29,988,354 ","13,675,293 ",,"16,313,061 ",,,,,,"38,882,927 ","35,265,990 ","31,624,379 ","31,624,379 ",,,,,,"3,641,611 ","3,641,611 ","2,419,899 ","1,221,712 ",,,,,"3,616,937 ","3,616,937 ",,,,,,"9,055,649 ",,,,,,,,,,,,
,198808,"122,548,251 ","74,795,000 ","74,795,000 ","35,211,000 ",,"39,584,000 ",,,,,,"32,460,215 ","32,460,215 ","16,212,864 ",,"16,247,351 ",,,,,,"186,134 ","186,134 ","127,305 ",,"58,829 ",,,,,,"468,438 ","468,438 ","160,392 ",,"308,046 ",,,,,,"11,661,795 ","11,661,795 ","5,070,494 ",,"6,591,301 ",,,,,,"29,973,354 ","29,973,354 ","13,641,286 ",,"16,332,068 ",,,,,,"38,828,277 ","35,202,182 ","31,558,588 ","31,558,588 ",,,,,,"3,643,594 ","3,643,594 ","2,422,247 ","1,221,347 ",,,,,"3,626,095 ","3,626,095 ",,,,,,"9,071,577 ",,,,,,,,,,,,
,198809,"122,687,860 ","74,870,000 ","74,870,000 ","35,223,000 ",,"39,647,000 ",,,,,,"32,517,533 ","32,517,533 ","16,242,740 ",,"16,274,793 ",,,,,,"183,978 ","183,978 ","125,876 ",,"58,102 ",,,,,,"470,700 ","470,700 ","161,429 ",,"309,271 ",,,,,,"11,657,443 ","11,657,443 ","5,067,856 ",,"6,589,587 ",,,,,,"29,982,734 ","29,982,734 ","13,625,864 ",,"16,356,870 ",,,,,,"38,781,570 ","35,141,391 ","31,498,329 ","31,498,329 ",,,,,,"3,643,062 ","3,643,062 ","2,422,946 ","1,220,116 ",,,,,"3,640,179 ","3,640,179 ",,,,,,"9,093,728 ",,,,,,,,,,,,
,198810,"122,782,930 ","74,988,000 ","74,988,000 ","35,258,000 ",,"39,730,000 ",,,,,,"32,598,428 ","32,598,428 ","16,284,400 ",,"16,314,028 ",,,,,,"182,371 ","182,371 ","125,005 ",,"57,366 ",,,,,,"466,402 ","466,402 ","160,216 ",,"306,186 ",,,,,,"11,652,775 ","11,652,775 ","5,065,211 ",,"6,587,564 ",,,,,,"30,019,383 ","30,019,383 ","13,624,726 ",,"16,394,657 ",,,,,,"38,701,992 ","35,049,760 ","31,403,578 ","31,403,578 ",,,,,,"3,646,182 ","3,646,182 ","2,426,099 ","1,220,083 ",,,,,"3,652,232 ","3,652,232 ",,,,,,"9,112,657 ",,,,,,,,,,,,
,198811,"122,844,614 ","75,160,000 ","75,160,000 ","35,330,000 ",,"39,830,000 ",,,,,,"32,695,004 ","32,695,004 ","16,333,903 ",,"16,361,101 ",,,,,,"180,598 ","180,598 ","124,016 ",,"56,582 ",,,,,,"454,658 ","454,658 ","156,437 ",,"298,221 ",,,,,,"11,647,889 ","11,647,889 ","5,062,561 ",,"6,585,328 ",,,,,,"30,101,348 ","30,101,348 ","13,655,499 ",,"16,445,849 ",,,,,,"38,611,179 ","34,937,914 ","31,285,401 ","31,285,401 ",,,,,,"3,652,513 ","3,652,513 ","2,431,856 ","1,220,657 ",,,,,"3,673,265 ","3,673,265 ",,,,,,"9,129,572 ",,,,,,,,,,,,
,198812,"122,902,577 ","75,091,000 ","75,091,000 ","35,268,000 ",,"39,823,000 ",,,,,,"32,615,761 ","32,615,761 ","16,295,571 ",,"16,320,190 ",,,,,,"179,053 ","179,053 ","123,179 ",,"55,874 ",,,,,,"447,132 ","447,132 ","154,099 ",,"293,033 ",,,,,,"11,643,070 ","11,643,070 ","5,059,913 ",,"6,583,157 ",,,,,,"30,114,298 ","30,114,298 ","13,637,173 ",,"16,477,125 ",,,,,,"38,533,610 ","34,855,769 ","31,198,664 ","31,198,664 ",,,,,,"3,657,105 ","3,657,105 ","2,435,639 ","1,221,466 ",,,,,"3,677,841 ","3,677,841 ",,,,,,"9,146,468 ",,,,,,,,,,,,
,198901,"122,814,107 ","75,034,000 ","75,034,000 ","35,204,000 ",,"39,830,000 ",,,,,,"32,586,528 ","32,586,528 ","16,282,223 ",,"16,304,305 ",,,,,,"178,357 ","178,357 ","122,924 ",,"55,433 ",,,,,,"445,179 ","445,179 ","153,677 ",,"291,502 ",,,,,,"11,638,360 ","11,638,360 ","5,057,267 ",,"6,581,093 ",,,,,,"30,081,573 ","30,081,573 ","13,589,953 ",,"16,491,620 ",,,,,,"38,522,691 ","34,849,996 ","31,188,809 ","31,188,809 ",,,,,,"3,661,187 ","3,661,187 ","2,438,869 ","1,222,318 ",,,,,"3,672,695 ","3,672,695 ",,,,,,"9,157,276 ",,,,,,,,,,,,
,198902,"122,939,035 ","75,060,000 ","75,060,000 ","35,194,000 ",,"39,866,000 ",,,,,,"32,615,046 ","32,615,046 ","16,297,732 ",,"16,317,314 ",,,,,,"175,966 ","175,966 ","121,497 ",,"54,469 ",,,,,,"441,943 ","441,943 ","152,810 ",,"289,133 ",,,,,,"11,632,143 ","11,632,143 ","5,054,587 ",,"6,577,556 ",,,,,,"30,079,336 ","30,079,336 ","13,569,593 ",,"16,509,743 ",,,,,,"38,449,842 ","34,765,547 ","31,112,510 ","31,112,510 ",,,,,,"3,653,037 ","3,653,037 ","2,434,457 ","1,218,580 ",,,,,"3,684,295 ","3,684,295 ",,,,,,"9,196,272 ",,,,,,,,,,,,
,198903,"122,894,542 ","75,340,000 ","75,340,000 ","35,371,000 ",,"39,969,000 ",,,,,,"32,913,693 ","32,913,693 ","16,383,278 ",,"16,530,415 ",,,,,,"174,052 ","174,052 ","120,394 ",,"53,658 ",,,,,,"440,176 ","440,176 ","152,449 ",,"287,727 ",,,,,,"11,628,006 ","11,628,006 ","5,051,953 ",,"6,576,053 ",,,,,,"30,184,746 ","30,184,746 ","13,663,049 ",,"16,521,697 ",,,,,,"38,282,275 ","34,588,645 ","30,929,890 ","30,929,890 ",,,,,,"3,658,755 ","3,658,755 ","2,439,429 ","1,219,326 ",,,,,"3,693,630 ","3,693,630 ",,,,,,"9,234,781 ",,,,,,,,,,,,
1989,198904,"122,969,132 ","75,988,000 ","75,988,000 ","36,211,000 ",,"39,777,000 ",,,,,,"33,225,452 ","33,225,452 ","16,747,178 ",,"16,478,274 ",,,,,,"167,265 ","167,265 ","116,385 ",,"50,880 ",,,,,,"435,804 ","435,804 ","152,215 ",,"283,589 ",,,,,,"11,628,287 ","11,628,287 ","5,053,291 ",,"6,574,996 ",,,,,,"30,533,322 ","30,533,322 ","14,142,361 ",,"16,390,961 ",,,,,,"38,284,332 ","34,569,223 ","30,811,953 ","30,811,953 ",,,,,,"3,757,270 ","3,757,270 ","2,502,344 ","1,254,926 ",,,,,"3,715,109 ","3,715,109 ",,,,,,"9,287,134 ",,,,,,,,,,,,
,198905,"122,959,500 ","76,134,000 ","76,134,000 ","36,333,000 ",,"39,801,000 ",,,,,,"33,377,238 ","33,377,238 ","16,855,639 ",,"16,521,599 ",,,,,,"167,843 ","167,843 ","116,176 ",,"51,667 ",,,,,,"440,053 ","440,053 ","153,575 ",,"286,478 ",,,,,,"11,625,603 ","11,625,603 ","5,052,876 ",,"6,572,727 ",,,,,,"30,522,501 ","30,522,501 ","14,154,387 ",,"16,368,114 ",,,,,,"38,110,462 ","34,383,112 ","30,611,884 ","30,611,884 ",,,,,,"3,771,228 ","3,771,228 ","2,514,429 ","1,256,799 ",,,,,"3,727,350 ","3,727,350 ",,,,,,"9,299,515 ",,,,,,,,,,,,
,198906,"123,098,072 ","76,283,000 ","76,283,000 ","36,419,000 ",,"39,864,000 ",,,,,,"33,525,599 ","33,525,599 ","16,941,458 ",,"16,584,141 ",,,,,,"166,436 ","166,436 ","114,768 ",,"51,668 ",,,,,,"433,095 ","433,095 ","150,859 ",,"282,236 ",,,,,,"11,621,265 ","11,621,265 ","5,052,431 ",,"6,568,834 ",,,,,,"30,537,464 ","30,537,464 ","14,160,415 ",,"16,377,049 ",,,,,,"37,984,634 ","34,242,214 ","30,459,069 ","30,459,069 ",,,,,,"3,783,145 ","3,783,145 ","2,523,869 ","1,259,276 ",,,,,"3,742,420 ","3,742,420 ",,,,,,"9,317,160 ",,,,,,,,,,,,
,198907,"123,116,067 ","76,346,000 ","76,346,000 ","36,427,000 ",,"39,919,000 ",,,,,,"33,603,536 ","33,603,536 ","16,971,351 ",,"16,632,185 ",,,,,,"165,155 ","165,155 ","113,543 ",,"51,612 ",,,,,,"428,495 ","428,495 ","149,613 ",,"278,882 ",,,,,,"11,617,240 ","11,617,240 ","5,051,992 ",,"6,565,248 ",,,,,,"30,531,851 ","30,531,851 ","14,141,200 ",,"16,390,651 ",,,,,,"37,889,894 ","34,136,788 ","30,344,282 ","30,344,282 ",,,,,,"3,792,506 ","3,792,506 ","2,530,683 ","1,261,823 ",,,,,"3,753,106 ","3,753,106 ",,,,,,"9,332,523 ",,,,,,,,,,,,
,198908,"123,040,181 ","76,334,000 ","76,334,000 ","36,369,000 ",,"39,965,000 ",,,,,,"33,610,845 ","33,610,845 ","16,952,186 ",,"16,658,659 ",,,,,,"163,875 ","163,875 ","112,396 ",,"51,479 ",,,,,,"430,913 ","430,913 ","150,703 ",,"280,210 ",,,,,,"11,613,746 ","11,613,746 ","5,051,563 ",,"6,562,183 ",,,,,,"30,513,740 ","30,513,740 ","14,101,622 ",,"16,412,118 ",,,,,,"37,831,299 ","34,070,013 ","30,276,583 ","30,276,583 ",,,,,,"3,793,430 ","3,793,430 ","2,532,597 ","1,260,833 ",,,,,"3,761,286 ","3,761,286 ",,,,,,"9,345,197 ",,,,,,,,,,,,
,198909,"123,163,582 ","76,399,000 ","76,399,000 ","36,366,000 ",,"40,033,000 ",,,,,,"33,684,239 ","33,684,239 ","16,975,391 ",,"16,708,848 ",,,,,,"163,285 ","163,285 ","111,911 ",,"51,374 ",,,,,,"432,952 ","432,952 ","151,336 ",,"281,616 ",,,,,,"11,610,155 ","11,610,155 ","5,051,132 ",,"6,559,023 ",,,,,,"30,509,482 ","30,509,482 ","14,077,476 ",,"16,432,006 ",,,,,,"37,777,556 ","34,006,396 ","30,211,981 ","30,211,981 ",,,,,,"3,794,415 ","3,794,415 ","2,534,389 ","1,260,026 ",,,,,"3,771,160 ","3,771,160 ",,,,,,"9,359,060 ",,,,,,,,,,,,
,198910,"123,254,671 ","76,538,000 ","76,538,000 ","36,414,000 ",,"40,124,000 ",,,,,,"33,799,026 ","33,799,026 ","17,025,893 ",,"16,773,133 ",,,,,,"161,939 ","161,939 ","110,565 ",,"51,374 ",,,,,,"430,884 ","430,884 ","149,788 ",,"281,096 ",,,,,,"11,606,685 ","11,606,685 ","5,050,703 ",,"6,555,982 ",,,,,,"30,540,138 ","30,540,138 ","14,077,208 ",,"16,462,930 ",,,,,,"37,700,300 ","33,913,055 ","30,116,431 ","30,116,431 ",,,,,,"3,796,624 ","3,796,624 ","2,537,134 ","1,259,490 ",,,,,"3,787,245 ","3,787,245 ",,,,,,"9,376,064 ",,,,,,,,,,,,
,198911,"123,304,353 ","76,748,000 ","76,748,000 ","36,513,000 ",,"40,235,000 ",,,,,,"33,932,414 ","33,932,414 ","17,083,879 ",,"16,848,535 ",,,,,,"161,733 ","161,733 ","110,407 ",,"51,326 ",,,,,,"423,788 ","423,788 ","146,487 ",,"277,301 ",,,,,,"11,602,487 ","11,602,487 ","5,050,260 ",,"6,552,227 ",,,,,,"30,626,553 ","30,626,553 ","14,121,679 ",,"16,504,874 ",,,,,,"37,591,661 ","33,785,171 ","29,987,079 ","29,987,079 ",,,,,,"3,798,092 ","3,798,092 ","2,540,345 ","1,257,747 ",,,,,"3,806,490 ","3,806,490 ",,,,,,"9,405,664 ",,,,,,,,,,,,
,198912,"123,344,644 ","76,708,000 ","76,708,000 ","36,443,000 ",,"40,265,000 ",,,,,,"33,916,339 ","33,916,339 ","17,047,986 ",,"16,868,353 ",,,,,,"160,322 ","160,322 ","109,244 ",,"51,078 ",,,,,,"417,890 ","417,890 ","143,708 ",,"274,182 ",,,,,,"11,598,024 ","11,598,024 ","5,049,813 ",,"6,548,211 ",,,,,,"30,615,222 ","30,615,222 ","14,091,516 ",,"16,523,706 ",,,,,,"37,498,181 ","33,688,863 ","29,893,563 ","29,893,563 ",,,,,,"3,795,300 ","3,795,300 ","2,539,568 ","1,255,732 ",,,,,"3,809,318 ","3,809,318 ",,,,,,"9,437,051 ",,,,,,,,,,,,
